EMIS_ID,Private_Tutoring,Study_Hours,Sleep_Hours,Mobile_Usage_Hours,Motivation_Level,Stress_Level,Study_Environment,Parental_Education,Peer_Influence,Physical_Health_Rating,Attendance_Percentage,Risk_Level,Private_Tutoring_Encoded,Motivation_Level_Encoded,Stress_Level_Encoded,Study_Environment_Encoded,Parental_Education_Encoded,Peer_Influence_Encoded,Physical_Health_Rating_Encoded
2703100947805521,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,77.99,2,0,2,0,0,5,0,1
7100100347901014,yes,0.75,8.0,3.0,somewhat motivated,rarely,living room or kitchen,class 9 to 10,mostly encourage me,good,74.64,1,1,4,4,0,1,1,2
2703100947905608,no,0.75,8.0,3.0,not motivated at all,rarely,with siblings,no formal education,neither encourage nor distract,good,76.56,2,0,2,4,4,4,3,2
2703100247601113,no,0.75,8.0,3.0,somewhat motivated,sometimes,living room or kitchen,class 6 to 8,mostly encourage me,good,75.6,2,0,4,5,0,0,1,2
2703100947906000,no,0.75,8.0,3.0,somewhat motivated,sometimes,living room or kitchen,class 6 to 8,mostly encourage me,good,77.03,2,0,4,5,0,0,1,2
2703100948200257,no,0.75,8.0,3.0,not motivated at all,rarely,living room or kitchen,no formal education,neither encourage nor distract,good,35.89,0,0,2,4,0,4,3,2
2703100948100183,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,74.64,1,0,2,0,0,5,0,1
2703100948006891,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,77.99,2,0,2,0,0,5,0,1
2703100948200322,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,69.38,1,0,2,0,0,5,0,1
2703100948200379,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,42.58,0,0,2,0,0,5,0,1
2703100948007008,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,60.29,1,0,2,0,0,5,0,1
2703100948200249,no,0.75,8.0,3.0,nan,nan,nan,nan,nan,nan,0.0,0,0,1,1,1,3,2,3
2703100948200278,no,0.75,8.0,3.0,not motivated at all,almost always,study on bed or floor,up to class 5,neither encourage nor distract,good,30.14,0,0,2,0,3,5,3,2
2703100948006867,no,0.75,8.0,3.0,not motivated at all,almost always,study on bed or floor,up to class 5,neither encourage nor distract,poor,55.98,0,0,2,0,3,5,3,4
2703100947805501,no,0.75,8.0,3.0,not motivated at all,rarely,with siblings,no formal education,neither encourage nor distract,good,78.95,2,0,2,4,4,4,3,2
1704800458100378,no,0.75,8.0,3.0,not motivated at all,sometimes,living room or kitchen,no formal education,neither encourage nor distract,good,74.16,1,0,2,5,0,4,3,2
6701900128000447,no,0.75,8.0,3.0,not motivated at all,sometimes,living room or kitchen,class 6 to 8,mostly encourage me,good,73.68,1,0,2,5,0,0,1,2
2703100948200390,no,0.75,8.0,3.0,somewhat motivated,rarely,living room or kitchen,class 6 to 8,mostly encourage me,good,70.33,1,0,4,4,0,0,1,2
2703100948006938,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,75.6,2,0,2,0,0,5,0,1
2703100947906015,no,0.75,8.0,3.0,not motivated at all,sometimes,living room or kitchen,no formal education,mostly encourage me,good,70.81,1,0,2,5,0,4,1,2
2703106447801199,no,0.75,8.0,3.0,somewhat motivated,sometimes,living room or kitchen,class 6 to 8,mostly encourage me,good,76.08,2,0,4,5,0,0,1,2
7100700128001130,no,0.75,8.0,3.0,nan,nan,nan,nan,nan,fair,0.0,0,0,1,1,1,3,2,1
3305200258001779,no,0.75,8.0,3.0,not motivated at all,rarely,with siblings,no formal education,neither encourage nor distract,good,67.94,1,0,2,4,4,4,3,2
2703100947402052,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,67.94,1,0,2,0,0,5,0,1
2703100947905822,no,0.75,8.0,3.0,not motivated at all,rarely,living room or kitchen,no formal education,neither encourage nor distract,good,70.81,1,0,2,4,0,4,3,2
3301800058000017,no,0.75,8.0,3.0,not motivated at all,rarely,with siblings,no formal education,neither encourage nor distract,good,73.21,1,0,2,4,4,4,3,2
2703100947906008,no,0.75,8.0,3.0,slightly motivated,rarely,with siblings,class 9 to 10,mostly encourage me,good,69.38,1,0,3,4,4,1,1,2
2703100947805357,no,0.75,8.0,3.0,somewhat motivated,rarely,living room or kitchen,class 9 to 10,mostly encourage me,good,74.16,1,0,4,4,0,1,1,2
1704800458004215,yes,0.75,8.0,3.0,not motivated at all,sometimes,living room or kitchen,no formal education,mostly encourage me,good,72.25,1,1,2,5,0,4,1,2
2703100948006949,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,67.94,1,0,2,0,0,5,0,1
1100700057600667,no,0.75,8.0,3.0,motivated,never,with siblings,up to class 5,mostly encourage me,fair,78.95,2,0,0,2,4,5,1,1
2703100947905620,no,0.75,8.0,3.0,not motivated at all,rarely,with siblings,no formal education,neither encourage nor distract,good,74.16,1,0,2,4,4,4,3,2
1905600098010012,no,0.75,8.0,3.0,slightly motivated,rarely,with siblings,class 9 to 10,mostly encourage me,good,68.9,1,0,3,4,4,1,1,2
2703100948200219,no,0.75,8.0,3.0,somewhat motivated,rarely,living room or kitchen,class 6 to 8,mostly encourage me,good,71.29,1,0,4,4,0,0,1,2
2703100948200157,no,0.75,8.0,3.0,not motivated at all,rarely,with siblings,no formal education,neither encourage nor distract,good,44.98,0,0,2,4,4,4,3,2
301500277100002,no,0.75,8.0,3.0,nan,nan,nan,nan,nan,nan,,,0,1,1,1,3,2,3
2703100948200166,no,0.75,8.0,3.0,not motivated at all,almost always,study on bed or floor,up to class 5,neither encourage nor distract,good,36.84,0,0,2,0,3,5,3,2
1906400427902805,no,0.75,8.0,3.0,somewhat motivated,rarely,living room or kitchen,class 6 to 8,mostly encourage me,good,74.64,1,0,4,4,0,0,1,2
2703100947905831,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,73.68,1,0,2,0,0,5,0,1
2703100947301213,no,0.75,8.0,3.0,not motivated at all,almost always,study on bed or floor,up to class 5,neither encourage nor distract,good,14.35,0,0,2,0,3,5,3,2
1908900107801166,no,0.75,8.0,3.0,not motivated at all,rarely,living room or kitchen,no formal education,neither encourage nor distract,good,73.21,1,0,2,4,0,4,3,2
2703100948100181,no,0.75,8.0,3.0,not motivated at all,rarely,living room or kitchen,no formal education,neither encourage nor distract,good,52.63,0,0,2,4,0,4,3,2
1609000267401552,yes,0.75,8.0,3.0,not motivated at all,rarely,living room or kitchen,no formal education,neither encourage nor distract,good,68.9,1,1,2,4,0,4,3,2
1701700077901156,no,0.75,8.0,3.0,not motivated at all,rarely,with siblings,no formal education,neither encourage nor distract,good,74.64,1,0,2,4,4,4,3,2
2703100948100154,no,0.75,8.0,3.0,not motivated at all,sometimes,living room or kitchen,no formal education,mostly encourage me,good,68.9,1,0,2,5,0,4,1,2
2703100947805520,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,no formal education,neither encourage nor distract,good,61.72,1,0,2,0,0,4,3,2
2703100947805043,no,0.75,8.0,3.0,not motivated at all,rarely,living room or kitchen,no formal education,neither encourage nor distract,good,80.38,2,0,2,4,0,4,3,2
2703100948200356,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,66.99,1,0,2,0,0,5,0,1
2703100948100114,no,0.75,8.0,3.0,not motivated at all,rarely,with siblings,no formal education,neither encourage nor distract,good,68.42,1,0,2,4,4,4,3,2
2703104737801605,no,0.75,8.0,3.0,slightly motivated,never,own quiet room or dedicated study space,higher secondary / plus two or above,"yes, always encourage me",good,76.08,2,0,3,2,2,2,5,2
2703100947704277,no,0.75,8.0,3.0,not motivated at all,rarely,with siblings,no formal education,neither encourage nor distract,good,79.9,2,0,2,4,4,4,3,2
7300300327601457,no,0.75,8.0,3.0,not motivated at all,rarely,living room or kitchen,no formal education,neither encourage nor distract,good,76.08,2,0,2,4,0,4,3,2
2703107828000141,no,0.75,8.0,3.0,not motivated at all,rarely,living room or kitchen,no formal education,neither encourage nor distract,good,77.99,2,0,2,4,0,4,3,2
2703100948006917,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,71.29,1,0,2,0,0,5,0,1
2703100948200244,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,no formal education,neither encourage nor distract,good,71.77,1,0,2,0,0,4,3,2
2703100948100396,no,0.75,8.0,3.0,somewhat motivated,almost always,living room or kitchen,no formal education,mostly distract me,fair,50.24,0,0,4,0,0,4,0,1
4705300107801102,no,0.75,8.0,3.0,slightly motivated,rarely,with siblings,class 9 to 10,mostly encourage me,good,57.89,0,0,3,4,4,1,1,2
2504200058001037,no,0.75,8.0,3.0,not motivated at all,rarely,living room or kitchen,no formal education,neither encourage nor distract,good,71.77,1,0,2,4,0,4,3,2
2703109927903368,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,no formal education,neither encourage nor distract,good,67.46,1,0,2,0,0,4,3,2
2703100948200309,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,61.24,1,0,2,0,0,5,0,1
2703104838000091,no,0.75,8.0,3.0,not motivated at all,sometimes,living room or kitchen,class 6 to 8,mostly encourage me,good,76.08,2,0,2,5,0,0,1,2
2703100947905798,no,0.75,8.0,3.0,not motivated at all,rarely,with siblings,no formal education,neither encourage nor distract,good,49.28,0,0,2,4,4,4,3,2
2703100948200226,no,0.75,8.0,3.0,not motivated at all,almost always,study on bed or floor,up to class 5,neither encourage nor distract,fair,27.27,0,0,2,0,3,5,3,1
2703100948200225,no,0.75,8.0,3.0,not motivated at all,sometimes,living room or kitchen,class 6 to 8,mostly encourage me,good,73.68,1,0,2,5,0,0,1,2
2703100947905849,no,0.75,8.0,3.0,not motivated at all,rarely,with siblings,no formal education,neither encourage nor distract,good,39.23,0,0,2,4,4,4,3,2
2703100948006866,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,neither encourage nor distract,good,62.2,1,0,2,0,0,5,3,2
2703104018100091,no,0.75,8.0,3.0,nan,nan,nan,nan,nan,nan,0.0,0,0,1,1,1,3,2,3
2703100947603770,no,0.75,8.0,3.0,not motivated at all,rarely,living room or kitchen,up to class 5,neither encourage nor distract,good,73.68,1,0,2,4,0,5,3,2
2703103378001892,no,0.75,8.0,3.0,not motivated at all,almost always,study on bed or floor,up to class 5,"no, they distract me a lot",fair,26.32,0,0,2,0,3,5,4,1
1201400027600097,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,neither encourage nor distract,good,77.03,2,0,2,0,0,5,3,2
2703100948200222,yes,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,no formal education,neither encourage nor distract,good,69.86,1,1,2,0,0,4,3,2
2703100628000926,no,0.75,8.0,3.0,not motivated at all,sometimes,living room or kitchen,class 6 to 8,mostly encourage me,good,75.6,2,0,2,5,0,0,1,2
2703106797700529,no,0.75,8.0,3.0,not motivated at all,rarely,living room or kitchen,no formal education,neither encourage nor distract,good,63.64,1,0,2,4,0,4,3,2
1302400018200011,no,0.75,8.0,3.0,not motivated at all,rarely,living room or kitchen,no formal education,neither encourage nor distract,good,,,0,2,4,0,4,3,2
3102000447802259,no,0.75,8.0,3.0,somewhat motivated,sometimes,living room or kitchen,class 6 to 8,mostly encourage me,good,72.73,1,0,4,5,0,0,1,2
2703100948007035,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,64.59,1,0,2,0,0,5,0,1
2703102658000905,no,0.75,8.0,3.0,not motivated at all,rarely,living room or kitchen,no formal education,neither encourage nor distract,good,75.12,2,0,2,4,0,4,3,2
2703100948200270,yes,0.75,8.0,3.0,not motivated at all,rarely,with siblings,no formal education,neither encourage nor distract,good,56.46,0,1,2,4,4,4,3,2
2703100948006859,no,0.75,8.0,3.0,not motivated at all,almost always,study on bed or floor,up to class 5,neither encourage nor distract,good,64.59,1,0,2,0,3,5,3,2
2703100947805491,no,0.75,8.0,3.0,not motivated at all,rarely,with siblings,no formal education,neither encourage nor distract,good,70.81,1,0,2,4,4,4,3,2
2703100948006900,no,0.75,8.0,3.0,somewhat motivated,rarely,living room or kitchen,class 6 to 8,mostly encourage me,good,68.9,1,0,4,4,0,0,1,2
2703100948200424,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,66.99,1,0,2,0,0,5,0,1
2703104737601308,no,0.75,8.0,3.0,slightly motivated,never,own quiet room or dedicated study space,higher secondary / plus two or above,"yes, always encourage me",good,71.29,1,0,3,2,2,2,5,2
2703100948200369,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,56.94,0,0,2,0,0,5,0,1
2703104007900910,yes,0.75,8.0,3.0,somewhat motivated,rarely,living room or kitchen,class 9 to 10,mostly encourage me,good,70.81,1,1,4,4,0,1,1,2
2703100948006853,yes,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,neither encourage nor distract,good,73.21,1,1,2,0,0,5,3,2
2703100947906009,no,0.75,8.0,3.0,not motivated at all,rarely,living room or kitchen,no formal education,neither encourage nor distract,good,68.42,1,0,2,4,0,4,3,2
3406200128000237,no,0.75,8.0,3.0,somewhat motivated,rarely,living room or kitchen,class 9 to 10,mostly encourage me,good,49.76,0,0,4,4,0,1,1,2
2502700888004085,no,0.75,8.0,3.0,motivated,rarely,living room or kitchen,class 9 to 10,mostly encourage me,good,73.68,1,0,0,4,0,1,1,2
2703100947906025,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,no formal education,neither encourage nor distract,good,77.51,2,0,2,0,0,4,3,2
2703100797400463,no,0.75,8.0,3.0,not motivated at all,often,living room or kitchen,up to class 5,mostly distract me,fair,59.81,0,0,2,3,0,5,0,1
2203400087801666,no,0.75,8.0,3.0,not motivated at all,rarely,with siblings,no formal education,neither encourage nor distract,good,73.68,1,0,2,4,4,4,3,2
2703100948200263,no,0.75,8.0,3.0,not motivated at all,almost always,study on bed or floor,up to class 5,neither encourage nor distract,good,35.41,0,0,2,0,3,5,3,2
2703100947905765,no,0.75,8.0,3.0,not motivated at all,rarely,with siblings,no formal education,neither encourage nor distract,good,59.81,0,0,2,4,4,4,3,2
1200200057600859,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,77.51,2,0,2,0,0,5,0,1
2703100947704608,no,0.75,8.0,3.0,not motivated at all,sometimes,living room or kitchen,no formal education,neither encourage nor distract,fair,46.89,0,0,2,5,0,4,3,1
2703100948200183,no,0.75,8.0,3.0,not motivated at all,almost always,study on bed or floor,up to class 5,neither encourage nor distract,fair,26.79,0,0,2,0,3,5,3,1
2703100948100173,no,0.75,8.0,3.0,somewhat motivated,rarely,living room or kitchen,class 6 to 8,mostly encourage me,good,48.33,0,0,4,4,0,0,1,2
2703100947905998,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,63.16,1,0,2,0,0,5,0,1
2703100948006969,no,0.75,8.0,3.0,motivated,rarely,with siblings,higher secondary / plus two or above,mostly encourage me,good,73.21,1,0,0,4,4,2,1,2
7101000987600727,no,0.75,8.0,3.0,motivated,often,living room or kitchen,higher secondary / plus two or above,neither encourage nor distract,good,78.47,2,0,0,3,0,2,3,2
7101000087807108,no,0.75,8.0,3.0,somewhat motivated,rarely,living room or kitchen,class 6 to 8,mostly encourage me,good,76.08,2,0,4,4,0,0,1,2
2703100948200170,no,0.75,8.0,3.0,not motivated at all,almost always,study on bed or floor,up to class 5,neither encourage nor distract,good,27.27,0,0,2,0,3,5,3,2
1701800197600695,no,0.75,8.0,3.0,not motivated at all,sometimes,living room or kitchen,no formal education,mostly encourage me,good,66.99,1,0,2,5,0,4,1,2
2703107018000412,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,78.47,2,0,2,0,0,5,0,1
2703100948200217,no,0.75,8.0,3.0,not motivated at all,almost always,study on bed or floor,up to class 5,neither encourage nor distract,good,45.45,0,0,2,0,3,5,3,2
1704800457803423,yes,0.75,8.0,3.0,somewhat motivated,rarely,living room or kitchen,class 6 to 8,mostly encourage me,good,69.86,1,1,4,4,0,0,1,2
2703100747900279,no,0.75,8.0,3.0,not motivated at all,almost always,study on bed or floor,up to class 5,neither encourage nor distract,good,56.94,0,0,2,0,3,5,3,2
2703100948006865,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,neither encourage nor distract,good,73.68,1,0,2,0,0,5,3,2
2703100948100394,no,0.75,8.0,3.0,nan,nan,nan,nan,nan,nan,0.0,0,0,1,1,1,3,2,3
2703106877900722,no,0.75,8.0,3.0,motivated,sometimes,with siblings,higher secondary / plus two or above,neither encourage nor distract,good,78.47,2,0,0,5,4,2,3,2
2703100947906304,no,0.75,8.0,3.0,not motivated at all,rarely,living room or kitchen,no formal education,neither encourage nor distract,good,77.51,2,0,2,4,0,4,3,2
2703100948007315,no,0.75,8.0,3.0,not motivated at all,almost always,living room or kitchen,up to class 5,mostly distract me,fair,77.03,2,0,2,0,0,5,0,1
